Model,Train MSE,Train MAE,Train R²,Train Adj R²,Test MSE,Test MAE,Test R²,Test Adj R²
Dummy Regressor (Mean),72.9553837415216,7.0374753583480905,0.0,-0.08176100628930816,54.134785105451314,6.081594158807424,-0.04584418013569902,-0.2651340888738294
Linear Regression,17.189764914719575,3.4027205086105403,0.764379761531756,0.7451152137324657,19.714980090433517,3.6459007898373885,0.619121103946254,0.5392593999349846
Lasso (alpha=1),22.314716475897,3.8948989845535475,0.6941320114913347,0.6691239369591797,21.149453106660516,3.761490518869931,0.591408141704687,0.5057356552879279
Ridge (alpha=1),17.249994369174736,3.4112174397628143,0.7635541959413048,0.7442221490685813,19.73573418432182,3.6229546086164817,0.6187201501368911,0.538774375165594
