Model,Train MSE,Train MAE,Train R²,Train Adj R²,Test MSE,Test MAE,Test R²,Test Adj R²
SVR (Linear Kernel),18.536139428428736,3.4011485305772653,0.7459249958289351,0.7251515678149487,21.01260195191644,3.6379358087697637,0.5940520052289467,0.5089338772930807
SVR (RBF Kernel),30.960067060523567,4.384803282765994,0.5756301252527982,0.5409332172545993,27.886214704906486,4.421324341592034,0.4612588689817455,0.3482970189295309
Random Forest Regressor,3.237433670520237,1.426595375722545,0.955624472047322,0.9519962842272918,17.630181710526312,3.5316578947368416,0.6593978732755317,0.5879812983171754
HistGradientBoosting Regressor,4.214430939747171,1.5317142310715866,0.9422327630448939,0.9375096556208915,19.11757760978679,3.5099187357913877,0.6306624799093423,0.5532207418258174
